0.0,100.0,50.0
0.1,0.0018,127.8869
0.2,0.0,115.7183
0.3,-0.0,104.7063
0.4,-0.0,94.7421
0.5,-0.0,85.7262
0.6,0.0,77.5683
0.7,0.0,70.1867
0.8,-0.0,63.5076
0.9,-0.0,57.464
1.0,-0.0,51.9956
1.1,0.0,47.0476
1.2,0.0,42.5704
1.3,-0.0,38.5193
1.4,-0.0,34.8537
1.5,0.0,31.5369
1.6,0.0,28.5358
1.7,-0.0,25.8202
1.8,0.0,23.3631
1.9,0.0,21.1398
2.0,-0.0,19.1281
2.1,0.0,17.3078
2.2,0.0,15.6608
2.3,-0.0,14.1704
2.4,0.0,12.822
2.5,0.0,11.6018
2.6,-0.0,10.4977
2.7,0.0,9.4987
2.8,0.0,8.5948
2.9,0.0,7.7768
3.0,0.0,7.0365
3.1,0.0,6.3669
3.2,0.0,5.7611
3.3,0.0,5.2131
3.4,0.0,4.7171
3.5,0.0,4.2675
3.6,0.0,3.8603
3.7,0.0,3.4919
3.8,0.0,3.1591
3.9,0.0,2.8586
4.0,0.0,2.5872
4.1,0.0,2.3421
4.2,0.0,2.1204
4.3,0.0,1.9195
4.4,0.0,1.7368
4.5,0.0,1.5712
4.6,0.0,1.4213
4.7,0.0,1.2858
4.8,0.0,1.1633
4.9,0.0,1.0528
5.0,0.0,0.9529
5.1,0.0,0.8627
5.2,0.0,0.7809
5.3,0.0,0.7067
5.4,0.0,0.6394
5.5,0.0,0.5784
5.6,0.0,0.5232
5.7,0.0,0.4733
5.8,0.0,0.4283
5.9,0.0,0.3877
6.0,0.0,0.3509
6.1,0.0,0.3177
6.2,0.0,0.2875
6.3,0.0,0.2602
6.4,0.0,0.2353
6.5,0.0,0.2129
6.6,0.0,0.1926
6.7,0.0,0.1743
6.8,0.0,0.1577
6.9,0.0,0.1428
7.0,0.0,0.1292
7.1,0.0,0.117
7.2,0.0,0.1059
7.3,0.0,0.0958
7.4,0.0,0.0866
7.5,0.0,0.0784
7.6,0.0,0.0709
7.7,0.0,0.0642
7.8,0.0,0.0581
7.9,0.0,0.0526
8.0,0.0,0.0476
8.1,0.0,0.0431
8.2,0.0,0.039
8.3,0.0,0.0353
8.4,0.0,0.0319
8.5,0.0,0.0289
8.6,0.0,0.0261
8.7,0.0,0.0236
8.8,0.0,0.0214
8.9,0.0,0.0194
9.0,0.0,0.0175
9.1,0.0,0.0159
9.2,0.0,0.0143
9.3,0.0,0.013
9.4,0.0,0.0117
9.5,0.0,0.0106
9.6,0.0,0.0096
9.7,0.0,0.0087
9.8,0.0,0.0079
9.9,0.0,0.0071
10.0,0.0,0.0065
